Compt_ID,year,month,srad
Nyalazi_B032,2010,10,18.00898823
Palm_Ridge_C15a,2010,10,18.16740469
Futululu_E6a,2010,10,15.48294974
Mtubatuba_B003,2010,10,15.50135385
Trust_D13,2010,10,16.28062811
Trust_E23,2010,10,15.68076357
Trust_E24,2010,10,15.73456838
Mavuya_B3a,2010,10,18.3332521
Salpine_G22,2010,10,16.208241
Salpine_G33,2010,10,16.10731905
Salpine_F7,2010,10,16.67265469
Kwambo_F011A,2010,10,15.83991473
Nseleni_J006,2010,10,15.84863158
Terranera_B38,2010,10,15.95780712
South_Areas_B35b,2010,10,16.13857576
Kwambo_A017,2010,10,15.77772248
Teranera_C55,2010,10,16.19438538
Port_Durnford_B044,2010,10,15.83418439
Nyalazi_B032,2010,11,19.25724694
Palm_Ridge_C15a,2010,11,19.35132917
Futululu_E6a,2010,11,17.3400129
Mtubatuba_B003,2010,11,17.41653615
Trust_D13,2010,11,17.95507803
Trust_E23,2010,11,17.49324365
Trust_E24,2010,11,17.55644051
Mavuya_B3a,2010,11,19.48567117
Salpine_G22,2010,11,17.86522441
Salpine_G33,2010,11,17.62102916
Salpine_F7,2010,11,18.00625842
Kwambo_F011A,2010,11,17.28478311
Nseleni_J006,2010,11,17.55753775
Terranera_B38,2010,11,17.4991812
South_Areas_B35b,2010,11,17.68784369
Kwambo_A017,2010,11,17.32583386
Teranera_C55,2010,11,17.67183344
Port_Durnford_B044,2010,11,17.30170382
Nyalazi_B032,2010,12,19.21168937
Palm_Ridge_C15a,2010,12,19.26108406
Futululu_E6a,2010,12,17.03621924
Mtubatuba_B003,2010,12,17.03842428
Trust_D13,2010,12,17.78770459
Trust_E23,2010,12,16.93127115
Trust_E24,2010,12,17.06189741
Mavuya_B3a,2010,12,19.41614003
Salpine_G22,2010,12,17.64273235
Salpine_G33,2010,12,17.16236823
Salpine_F7,2010,12,17.95824196
Kwambo_F011A,2010,12,16.85736556
Nseleni_J006,2010,12,17.07184902
Terranera_B38,2010,12,17.00517338
South_Areas_B35b,2010,12,17.36112575
Kwambo_A017,2010,12,16.97469767
Teranera_C55,2010,12,17.35064095
Port_Durnford_B044,2010,12,16.93008027
Nyalazi_B032,2011,1,20.36552686
Palm_Ridge_C15a,2011,1,19.65431332
Futululu_E6a,2011,1,18.98704331
Mtubatuba_B003,2011,1,19.01492468
Trust_D13,2011,1,19.31444003
Trust_E23,2011,1,18.52515363
Trust_E24,2011,1,18.9438679
Mavuya_B3a,2011,1,19.91488294
Salpine_G22,2011,1,19.3568332
Salpine_G33,2011,1,18.65670998
Salpine_F7,2011,1,19.79234723
Kwambo_F011A,2011,1,17.87660251
Nseleni_J006,2011,1,17.97001292
Terranera_B38,2011,1,18.06361278
South_Areas_B35b,2011,1,18.05010812
